Feature,Corr_Score,Abs_Correlation,RF_Score,Importance,MI_Score_Norm,MI_Score,Composite_Score
IC182,0.4600529099771411,0.2015190892239445,3.9033833815282225e-05,8.215834432801267e-06,0.21542748230287767,0.1645043729465705,0.22517314203794467
reading_q6_average_score,0.3783310433158931,0.1657220846140321,0.00042585003942243534,8.963284092598745e-05,0.29619974000558796,0.22618354898680249,0.2249855444536345
reading_q4_average_score,0.3590506537001192,0.15727660699397614,0.0005316431716244586,0.00011190016066743149,0.3106139491718092,0.23719050322988355,0.22339874868118428
ST226,0.14581067755581736,0.06387012081204868,3.256258133837881e-05,6.8537663568164236e-06,0.5199835099900971,0.3970689363263986,0.22194225004241763
ST338,0.05414593400479056,0.023717792169529718,5.4736039178610096e-05,1.1520831838524662e-05,0.602112182359065,0.4597838954605189,0.2187709508010114
ST251,0.2905479942914593,0.12727007245398783,0.0008283252197282348,0.0001743457456422463,0.3574439260877947,0.27295073170823336,0.21627341519966073
IC014,0.1921118409966843,0.08415163209968755,0.0003760760254773873,7.915641528038887e-05,0.4436328720402977,0.3387661901505705,0.2120402630208198
science_q4_average_score,0.3115157493488807,0.13645467450867818,0.0014252151276613223,0.00029997902781982947,0.31420450918585724,0.23993232064948078,0.20904849122079974
science_q6_average_score,0.3488886079299774,0.1528252794100407,0.0028489675675969807,0.0005996501893860438,0.2737479973780231,0.20903898691411094,0.2084951909585325
ST330,0.11736683443547415,0.05141073356477503,5.8339855295309266e-05,1.2279362416924296e-05,0.5007585679282535,0.38238841829308967,0.206061247406341
ST352,0.029336301972228716,0.012850315097313223,5.048027635277292e-05,1.0625079632174396e-05,0.5735586139452373,0.4379798674085187,0.20098179873127295
ST301,0.11433295476417142,0.050081789317457166,5.942848370763986e-05,1.2508496732474151e-05,0.4838072103290818,0.3694440510162895,0.19939986452565361
reading_q1_average_score,0.31721828874787505,0.1389525840339241,0.0004709442689871534,9.912426638349416e-05,0.27734947784955166,0.2117891433951451,0.1983462369554713
OCOD1,0.3067986153776422,0.13438840664901278,0.000793445604337361,0.00016700429036815503,0.2872895390904096,0.21937955629881944,0.19829386669079638
ST296,0.08679594465013381,0.038019626297105584,0.0004744882836469128,9.987020996182143e-05,0.5011801283030475,0.3827103295198899,0.19615018707894272
science_q7_average_score,0.2940310830328835,0.1287957858135509,0.0026145069966860748,0.0005503009699181396,0.2853598984958553,0.21790604738237995,0.19400182950847497
reading_q7_average_score,0.36748567658613623,0.16097143881159848,0.00041947727299182134,8.829150217559446e-05,0.21068271680434542,0.16088118306953714,0.19286262355449116
ST059,0.21178159863515272,0.09276766638312864,0.0013404438437013499,0.00028213638297569326,0.35671336046369295,0.272392858410897,0.18994513431418233
ST095,0.21207478363858917,0.09289609155681045,0.0018249035149201856,0.0003841053688288066,0.34553974650406666,0.2638604820477406,0.186479811219192
ST177,0.17181318260851539,0.07526011753225437,0.0006227326215600415,0.00013107265196785534,0.3822207308694784,0.2918707538458918,0.18488554869985127
ST305,0.10287638310479164,0.04506341461237861,4.9948052485292734e-05,1.0513057246746029e-05,0.45085714410185923,0.3442827766732304,0.1845944917530454
ST011,0.2426562514000779,0.10629183234395782,0.0008457399092681192,0.00017801118641435696,0.3090894309029725,0.23602635314476128,0.1841971407374395
IC001,0.1757976274771155,0.07700544221898054,0.0012943772960630968,0.0002724403041821605,0.3707879290920208,0.28314045691572165,0.18262664462173314
science_q2_average_score,0.3011819817585344,0.13192812682710395,0.0012508407972756377,0.00026327674962294684,0.24415777929872137,0.18644335418214553,0.18219686728484383
ST347,0.04694714364317869,0.020564472962705842,3.431731409479773e-05,7.22310219681548e-06,0.4927035076201844,0.3762374266421604,0.17989498952581928
reading_q2_average_score,0.2863064203069448,0.12541211631959928,0.000537060122119937,0.00011304031944896801,0.2517732535825487,0.19225866989005702,0.17953891133720448
science_q8_average_score,0.3023369704343628,0.13243405182174964,0.0013641883109741502,0.000287134114244714,0.22111636978248095,0.16884851166829584,0.17493917617593926
math_q11_total_timing,0.12987684802044158,0.05689055227507745,0.002224550723300817,0.0004682230425147818,0.3902335134023921,0.29798946141302096,0.17411163738204483
science_q3_average_score,0.23540312347665676,0.10311471140535705,0.0011030688612827186,0.00023217373868946774,0.27847681332973984,0.21264999742493895,0.17166100188922642
science_q1_average_score,0.2744083629756752,0.12020035561787726,0.0009981051353641802,0.00021008099223577412,0.2318888815175033,0.17707459902300915,0.16909844987618092
ST327,0.16828699710451997,0.07371552629983473,0.000410846221271856,8.647483993719509e-05,0.3353574641560143,0.25608510466819023,0.16801843582726872
OCOD2,0.2316375426955487,0.10146525676013855,0.000604924597510152,0.00012732442221769551,0.2710807327602572,0.20700221477743774,0.16777440001777202
ST007,0.2576367273917373,0.11285379904933171,0.00019960428444720725,4.2012674462275774e-05,0.24477111492281814,0.18691170850337357,0.1675358155330009
COBN_S,0.03779470342729141,0.016555387536914604,0.0006095984693778727,0.00012830817794117988,0.46160775538174414,0.35249214043910015,0.16667068575947117
ST036,0.11697699178383732,0.05123996899749427,0.0002654529746624157,5.5872495124143856e-05,0.38078565691453037,0.2907749050778188,0.16600936722434337
ST208,0.11380936247716618,0.04985243778307122,0.00039367360954340873,8.286035165999013e-05,0.3818058191098968,0.29155391962349597,0.16533628506553547
ST165,0.1336431472568499,0.05854032162857105,0.0005034315965102974,0.00010596219333059921,0.3604050916925089,0.2752119320239368,0.16485055684862301
ST163,0.23600920708404138,0.10338019699169924,0.0002292562739770937,4.825381997038943e-05,0.25449436991593166,0.19433656418354595,0.16357761109131672
ST164,0.12309404456324476,0.05391944972266181,0.0008147721195267793,0.00017149309151062142,0.35291095282146706,0.2694892702605598,0.15893992316807953
IC175,0.28603690580878416,0.12529405964606433,3.394413131141198e-05,7.144554750618462e-06,0.18945999686129808,0.14467512523916604,0.15851028226713124
ST349,0.0775819900165385,0.03398359542838414,0.0003421167986778735,7.20086832341065e-05,0.39717982458366097,0.30329379191417694,0.1583679771329591
